Name,State_Born,Batting_Avg,Innings_Pitched,Games,Starts,Strikeouts,Earned_Runs,Walks_Allowed,Hit_Batters,Int_Walks,Hits,Homeruns_Allowed
A. J. Achter,OH,0.277,61,45,0,33,27,21,1,2,69,13
A. J. Burnett,AR,0.259,1146,187,186,1040,534,435,73,12,1127,116
A. J. Cole,FL,0.293,173,79,19,181,94,72,5,3,188,35
A. J. Griffin,CA,0.243,478,88,85,403,231,147,18,3,437,94
A. J. Minter,TX,0.255,105,117,0,130,50,47,3,6,106,7
A. J. Morris,TX,0.237,10,7,0,9,7,8,0,0,9,2
A. J. Puk,IA,0.238,11,10,0,13,4,5,0,0,10,1
A. J. Schugel,FL,0.281,93,73,0,78,33,32,1,4,89,9
AJ Ramos,TX,0.212,364,374,0,426,125,200,15,14,265,24
Aaron Barrett,IN,0.234,69,90,0,84,27,27,4,2,61,2
Aaron Blair,NV,0.299,70,15,15,46,59,34,6,4,82,14
Aaron Brooks,CA,0.286,160,40,27,117,107,48,14,0,185,30
Aaron Bummer,CA,0.221,120,125,0,112,42,49,5,3,96,9
Aaron Civale,CT,0.216,57,10,10,46,15,16,1,0,44,4
Aaron Cook,KY,0.307,318,59,58,130,196,110,10,10,391,35
Aaron Crow,KS,0.245,233,254,0,208,89,99,3,8,210,28
Aaron Harang,CA,0.268,979,169,167,719,467,343,24,22,1038,117
Aaron Heilman,IN,0.289,107,102,0,88,63,37,6,4,121,17
Aaron Laffey,MD,0.307,224,105,23,118,113,94,13,6,253,27
Aaron Loup,LA,0.26,315,369,0,297,123,98,31,14,307,25
Aaron Nola,LA,0.237,770,127,127,826,299,235,28,12,669,83
Aaron Poreda,CA,0.337,21,26,0,21,14,7,1,1,30,2
Aaron Sanchez,CA,0.231,588,150,96,474,261,262,28,6,542,62
Aaron Slegers,AZ,0.255,28,8,5,15,19,8,1,0,29,6
Aaron Thompson,NM,0.311,46,52,1,24,26,19,0,3,53,4
Aaron Wilkerson,TX,0.277,35,14,3,28,27,13,1,1,43,9
Adam Cimber,OR,0.273,124,138,0,99,54,36,10,11,124,11
Adam Conley,WA,0.261,412,174,56,358,222,172,26,19,417,54
Adam Kolarek,MD,0.254,96,123,0,68,41,25,8,7,95,9
Adam Liberatore,CA,0.226,84,114,0,88,34,34,3,8,70,6
Adam Morgan,FL,0.252,329,182,36,286,177,96,11,9,349,56
Adam Ottavino,NY,0.225,477,439,3,552,183,214,22,24,410,46
Adam Plutko,CA,0.264,185,38,32,138,104,49,5,3,193,43
Adam Russell,OH,0.255,47,48,0,31,18,25,3,1,45,2
Adam Wainwright,GA,0.256,1456,234,230,1265,565,383,43,28,1396,118
Adam Warren,AL,0.236,487,322,20,427,187,169,17,13,427,54
Adam Wilk,CA,0.342,34,11,4,23,27,14,0,1,51,10
Addison Reed,CA,0.245,456,465,0,469,180,119,9,23,428,53
Adrian Houser,OK,0.25,124,42,18,125,51,44,6,2,114,14
Adrian Sampson,WA,0.286,148,40,19,116,93,40,11,1,180,35
Alan Busenitz,GA,0.273,56,51,0,49,29,23,2,0,59,12
Alec Asher,FL,0.273,116,36,18,76,72,37,10,2,125,19
Alec Mills,TN,0.202,54,16,6,65,19,18,7,0,42,6
Alex Burnett,CA,0.269,168,174,0,106,87,70,13,9,173,14
Alex Cobb,MA,0.274,862,146,146,680,370,249,33,15,841,98
Alex Hinshaw,CA,0.217,28,31,0,36,14,20,2,2,23,5
Alex McRae,WI,0.314,32,13,2,24,30,21,4,1,44,9
Alex Meyer,IN,0.206,88,18,18,99,39,55,4,0,65,8
Alex Reyes,NJ,0.201,46,12,5,52,8,23,0,1,33,1
Alex Sanabia,CA,0.289,138,28,24,86,64,44,7,5,156,18
Alex White,NC,0.289,149,33,30,101,100,76,9,12,176,28
Alex Wimmers,OH,0.252,24,22,0,21,12,19,0,1,22,4
Alex Wood,NC,0.255,835,179,136,768,317,238,29,17,788,79
Alex Young,IL,0.229,83,17,15,71,33,27,4,4,72,14
Allen Webster,NC,0.287,131,40,23,85,88,71,12,3,141,22
Amir Garrett,CA,0.24,189,151,14,212,108,100,9,6,174,38
Andrew Bailey,NJ,0.242,184,193,0,183,78,67,2,6,162,24
Andrew Bellatti,CA,0.198,23,17,0,18,6,10,1,0,16,4
Andrew Carignan,CT,0.259,15,17,0,13,8,12,0,0,16,1
Andrew Cashner,TX,0.248,1191,300,188,901,545,442,39,20,1180,130
Andrew Chafin,OH,0.244,263,326,3,278,105,113,9,12,232,15
Andrew Faulkner,SC,0.251,15,20,0,11,8,7,0,2,16,5
Andrew Heaney,OK,0.268,436,79,77,430,216,119,24,2,429,76
Andrew Kittredge,WA,0.274,102,85,10,102,59,35,3,6,118,16
Andrew McKirahan,TX,0.345,27,27,0,22,18,10,2,2,40,2
Andrew Miller,FL,0.203,514,486,19,713,188,214,38,8,396,53
Andrew Moore,OR,0.261,59,11,9,31,35,8,1,0,60,14
Andrew Suarez,FL,0.286,192,50,31,155,101,59,4,3,202,30
Andrew Triggs,TN,0.251,162,45,27,148,82,50,10,1,161,21
Andrew Vasquez,CA,0.238,5,9,0,7,3,2,3,0,5,0
Andrew Werner,IL,0.285,40,8,8,35,25,14,1,1,45,5
Andy Oliver,OH,0.3,31,7,7,23,25,21,4,2,37,6
Andy Pettitte,LA,0.255,389,63,63,298,148,110,7,4,386,38
Andy Sonnanstine,OH,0.276,116,56,8,62,62,39,8,4,123,21
Anthony Banda,TX,0.245,39,11,5,35,23,13,3,1,38,2
Anthony Bass,MI,0.286,346,191,18,245,169,127,6,12,341,35
Anthony DeSclafani,NJ,0.268,621,116,108,557,286,169,17,14,623,90
Anthony Kay,NY,0.263,14,3,2,13,9,5,1,0,15,0
Anthony Lerew,PA,0.321,26,6,6,18,25,9,2,0,34,9
Anthony Ranaudo,NJ,0.283,81,18,14,42,60,36,1,0,91,21
Anthony Swarzak,FL,0.26,579,363,20,451,267,181,11,23,590,71
Anthony Varvaro,NY,0.243,178,162,0,145,61,64,3,10,159,13
Anthony Vasquez,TX,0.351,29,7,7,13,29,10,3,0,46,13
Archie Bradley,OK,0.245,391,239,35,407,173,166,16,14,374,37
Art Warren,OH,0.105,5,6,0,5,0,2,0,0,2,0
Arthur Rhodes,TX,0.231,87,120,0,71,31,29,1,1,72,12
Artie Lewicki,NJ,0.358,48,17,4,36,28,18,1,1,67,5
Asher Wojciechowski,SC,0.288,160,47,27,160,103,54,14,1,174,33
Ashur Tolliver,AR,0.235,5,3,0,5,2,4,1,0,4,0
Austen Williams,TX,0.27,9,10,0,8,6,6,0,2,10,5
Austin Adams,AL,0.262,108,101,2,114,64,53,1,2,111,14
Austin Bibens-Dirkx,OR,0.289,114,37,12,71,67,34,8,0,130,23
Austin Davis,AZ,0.269,54,46,0,62,31,26,5,2,57,10
Austin Gomber,FL,0.277,75,29,11,67,37,32,4,4,81,7
Austin Maddox,FL,0.2,17,13,0,14,1,2,0,0,13,1
Austin Pruitt,TX,0.278,199,67,10,147,108,50,6,4,222,25
Austin Voth,WA,0.234,55,13,10,55,25,19,3,2,45,8
B. J. Rosenberg,VA,0.284,56,57,1,52,36,30,2,1,58,9
Barret Browning,GA,0.247,19,22,0,11,11,7,0,0,18,2
Barrett Astin,AR,0.29,8,6,0,2,6,7,2,0,9,2
Barry Enright,CA,0.306,144,28,26,76,86,51,2,1,159,33
Barry Zito,NV,0.295,576,112,101,384,305,238,16,16,606,73
Ben Heller,WI,0.238,25,25,0,24,7,13,2,2,22,4
Ben Lively,FL,0.295,117,25,20,79,61,39,11,2,131,17
Ben Meyer,MN,0.338,19,13,0,9,22,14,4,2,26,2
Ben Rowen,CA,0.313,8,8,0,7,4,4,0,3,10,0
Ben Sheets,LA,0.271,168,29,29,119,79,56,1,3,175,24
Ben Taylor,AL,0.266,23,20,0,26,14,10,0,0,26,5
Bill Bray,VA,0.207,84,128,0,81,34,41,2,4,62,9
Billy Buckner,GA,0.316,35,11,6,22,28,16,3,1,49,10
Billy Wagner,VA,0.159,69,71,0,104,11,22,3,3,38,5
Blaine Boyer,GA,0.307,296,273,0,160,147,101,4,14,330,26
Blaine Hardy,WA,0.26,288,233,13,229,120,102,4,8,283,32
Blake Beavan,TX,0.281,288,53,43,136,148,47,14,0,320,44
Blake Parker,AR,0.25,283,288,2,321,113,89,11,4,245,43
Blake Snell,WA,0.231,505,97,97,585,182,214,2,4,414,50
Blake Treinen,KS,0.246,397,345,7,391,132,159,11,20,354,27
Blake Wood,GA,0.251,285,268,0,275,144,139,9,21,288,29
Bo Schultz,TX,0.284,67,51,0,46,34,18,1,1,62,11
Bob Howry,AZ,0.31,34,38,0,14,30,13,0,2,47,8
Bobby Cassevah,FL,0.249,64,50,0,34,23,33,3,5,56,3
Bobby Cramer,CA,0.217,31,9,4,19,9,7,0,0,26,6
Bobby Jenks,CA,0.294,67,74,0,78,37,31,1,1,76,4
Bobby LaFromboise,CA,0.233,18,21,0,19,8,5,0,1,17,1
Bobby Parnell,NC,0.276,241,260,0,219,87,89,4,13,241,11
Bobby Poyner,FL,0.245,33,33,1,35,17,8,3,0,32,6
Bobby Wahl,VA,0.309,12,14,0,15,10,8,1,0,17,2
Boof Bonser,FL,0.3,23,13,0,17,13,6,0,0,27,2
Boone Logan,TX,0.255,312,471,0,377,139,141,17,26,291,38
Brad Bergesen,CA,0.28,300,83,40,160,170,90,11,7,341,44
Brad Boxberger,CA,0.223,308,320,0,395,124,162,13,14,244,43
Brad Brach,NJ,0.248,507,482,0,542,189,232,6,21,437,50
Brad Goldberg,OH,0.304,12,11,0,3,11,14,2,0,14,2
Brad Hand,MN,0.222,580,372,42,592,235,216,27,17,507,62
Brad Keller,GA,0.25,305,69,48,218,125,120,11,3,287,22
Brad Kilby,CA,0.219,8,5,0,8,2,0,0,0,7,2
Brad Lidge,CA,0.242,73,86,0,85,28,48,2,12,60,6
Brad Lincoln,TX,0.265,217,97,22,167,114,77,11,6,228,31
Brad Mills,AZ,0.266,66,17,12,57,45,33,5,2,72,9
Brad Peacock,FL,0.225,550,178,83,584,245,237,19,4,481,77
Brad Penny,OK,0.318,290,70,44,132,165,93,9,4,361,35
Brad Thompson,NV,0.305,19,16,0,10,14,4,1,1,25,4
Brad Wieck,TX,0.15,41,49,0,59,23,13,3,0,31,9
Brad Ziegler,KS,0.246,580,623,0,395,187,198,23,48,525,28
Braden Shipley,OR,0.272,100,26,14,64,61,45,3,2,115,19
Brady Rodgers,TX,0.352,13,8,1,7,23,10,1,0,22,4
Branden Kline,MD,0.275,41,34,0,34,27,19,1,0,44,9
Branden Pinder,CA,0.262,27,25,0,25,9,14,0,1,28,4
Brandon Beachy,IN,0.245,275,48,48,280,103,92,6,15,227,28
Brandon Brennan,CA,0.201,47,44,0,47,24,24,0,4,34,6
Brandon Cumpton,GA,0.261,100,22,15,68,45,23,7,2,108,3
Brandon Cunniff,CA,0.223,52,54,0,53,26,31,2,3,41,6
Brandon Dickson,AL,0.312,14,8,1,13,8,5,0,0,19,4
Brandon Finnegan,TX,0.234,259,67,44,230,119,134,5,4,229,43
Brandon Gomes,MA,0.24,166,173,0,144,78,61,6,10,151,24
Brandon Kintzler,NV,0.282,421,430,0,299,159,110,14,18,419,37
Brandon League,CA,0.253,328,330,0,221,124,112,12,21,322,19
Brandon Lyon,UT,0.286,186,198,0,146,84,69,6,19,194,14
Brandon Mann,WA,0.25,8,7,0,3,5,4,2,0,7,1
Brandon Maurer,CA,0.282,369,289,21,326,221,128,11,12,407,47
Brandon McCarthy,CA,0.267,848,145,141,657,382,181,19,11,902,90
Brandon Medders,AL,0.388,15,14,0,8,12,6,0,1,26,3
Brandon Morrow,CA,0.248,658,203,98,673,291,240,26,4,599,65
Brandon Woodruff,MS,0.242,206,49,34,222,89,58,10,1,188,21
Brandon Workman,TX,0.228,279,188,18,295,117,123,4,7,232,30
Brendan Donnelly,DC,0.234,30,38,0,26,19,25,1,1,26,6
Brendan McKay,PA,0.268,49,13,11,56,28,16,0,0,53,8
Brent Suter,IL,0.244,221,65,34,178,90,47,7,4,220,30
Brett Anderson,TX,0.294,819,158,146,532,370,221,23,12,885,78
Brett Cecil,MD,0.252,658,425,57,601,305,231,18,21,641,79
Brett Graves,MO,0.311,33,21,0,21,20,12,4,2,41,3
Brett Kennedy,NJ,0.33,26,6,6,18,20,12,2,1,36,6
Brett Marshall,TX,0.283,12,3,0,7,6,7,1,0,13,3
Brett Martin,TN,0.28,62,51,2,62,33,18,2,2,72,7
Brett Myers,FL,0.271,524,141,69,393,228,143,10,10,532,69
Brett Oberholtzer,DE,0.285,322,82,44,220,157,87,6,1,365,41
Brett Tomko,OH,0.246,17,8,0,14,9,10,0,1,15,4
Brian Bannister,AZ,0.302,127,24,23,77,90,50,3,0,158,23
Brian Bass,NC,0.31,7,4,0,5,10,10,1,2,9,0
Brian Broderick,AZ,0.32,12,11,0,4,9,3,2,0,16,0
Brian Bruney,OR,0.324,36,42,0,32,30,32,0,1,47,5
Brian Burres,OR,0.251,93,25,15,55,50,38,6,4,99,13
Brian Duensing,KS,0.267,675,460,52,470,321,227,16,25,720,71
Brian Ellington,FL,0.229,102,97,0,98,53,64,10,4,92,10
Brian Flynn,OK,0.314,184,101,7,134,91,91,7,5,202,16
Brian Fuentes,CA,0.225,135,147,0,113,63,55,7,6,119,17
Brian Gordon,NY,0.3,10,2,2,4,6,3,2,1,12,3
Brian Johnson,FL,0.287,166,64,25,139,86,69,1,4,189,27
Brian Matusz,CO,0.287,479,271,60,422,260,188,15,17,509,70
Brian Moehler,NC,0.299,56,20,8,28,31,26,1,1,66,5
Brian Moran,NY,0.25,6,10,0,10,3,2,2,1,6,1
Brian Omogrosso,PA,0.313,37,29,0,34,23,18,1,1,48,5
Brian Sanches,TX,0.269,130,106,2,112,50,66,3,7,107,18
Brian Schlitter,IL,0.347,80,84,0,48,47,30,3,5,100,6
Brian Stokes,CA,0.361,16,16,0,16,15,16,1,1,26,4
Brian Sweeney,NY,0.239,37,24,0,14,13,6,0,1,33,5
Brian Tallet,OK,0.306,90,52,5,62,67,43,6,4,104,24
Brian Wilson,NH,0.224,190,206,0,214,60,90,7,8,169,10
Brock Burke,IL,0.286,26,6,6,14,22,11,2,0,30,6
Brock Stewart,IL,0.281,100,43,11,84,63,46,6,6,112,24
Bronson Arroyo,FL,0.274,975,157,157,574,471,211,29,16,1009,166
Brooks Brown,GA,0.231,59,64,0,41,26,21,2,1,52,5
Brooks Pounders,CA,0.346,44,45,0,47,43,12,4,1,70,14
Brooks Raley,TX,0.271,38,14,5,30,30,19,2,0,44,9
Bruce Billings,CA,0.348,5,3,0,7,7,6,0,0,8,1
Bryan Augenstein,FL,0.407,5,5,0,6,6,3,1,3,11,1
Bryan Bullington,IN,0.297,42,13,5,29,29,17,4,2,51,6
Bryan Garcia,FL,0.321,6,7,0,7,9,5,0,1,9,1
Bryan Mitchell,NC,0.285,170,64,20,102,98,87,7,3,200,19
Bryan Morris,TN,0.243,234,231,0,168,82,101,11,14,223,22
Bryan Shaw,CA,0.251,570,606,0,510,234,208,20,19,536,58
Bryse Wilson,NC,0.315,27,9,5,22,21,16,0,3,34,5
Buck Farmer,GA,0.275,262,182,21,241,156,127,16,6,274,39
Bud Norris,CA,0.262,1161,344,178,1099,576,460,53,24,1161,147
Buddy Baumann,IL,0.189,26,34,0,31,9,11,4,2,18,4
Buddy Boshers,AL,0.253,106,128,1,104,53,35,5,3,105,13
Buddy Carlyle,NE,0.222,46,46,0,43,14,13,0,1,36,3
Burch Smith,TX,0.284,134,65,13,143,99,75,5,5,155,27
Burke Badenhop,GA,0.263,390,370,0,258,151,108,9,27,393,23
C. J. Fick,CA,0.286,23,18,0,17,11,17,2,4,24,4
C. J. Riefenhauser,NY,0.285,19,24,0,9,14,10,0,1,21,3
C. J. Wilson,CA,0.239,1148,186,186,998,460,474,55,12,1020,90
CC Sabathia,CA,0.26,1685,273,272,1503,725,509,64,22,1666,214
CD Pelham,SC,0.353,7,10,0,7,6,4,0,1,12,0
Caleb Cotham,TN,0.325,33,35,0,32,27,13,3,2,46,7
Caleb Ferguson,OH,0.232,93,75,5,113,43,39,9,3,82,15
Caleb Frare,MT,0.231,7,11,0,9,4,4,1,0,6,0
Caleb Smith,TX,0.241,248,53,46,274,129,103,9,5,212,47
Caleb Thielbar,MN,0.232,98,109,0,79,30,30,1,5,80,7
Cam Bedrosian,GA,0.251,261,274,7,279,110,110,9,5,245,25
Carl Edwards,SC,0.15,169,187,0,230,62,93,5,4,88,15
Carl Pavano,CT,0.291,506,76,76,252,240,85,16,4,569,56
Carlos Fisher,CA,0.26,46,35,0,38,26,24,2,3,47,4
Carlos Rodon,FL,0.246,527,93,90,519,240,228,30,4,500,65
Carlos Torres,CA,0.274,475,354,11,425,211,175,19,17,462,58
Carson Fulmer,FL,0.246,93,44,15,83,69,64,12,0,91,19
Carson Smith,TX,0.198,98,105,0,127,25,33,7,4,72,4
Carter Capps,NC,0.247,147,129,0,184,69,48,6,4,147,17
Casey Coleman,FL,0.309,177,58,26,123,113,89,6,5,211,18
Casey Crosby,IL,0.313,12,3,3,9,13,11,0,0,15,2
Casey Daigle,LA,0.439,10,13,0,6,13,6,0,1,25,3
Casey Fien,CA,0.294,273,292,0,242,129,55,1,12,269,43
Casey Janssen,CA,0.234,323,327,0,288,117,74,13,7,289,31
Casey Kelly,FL,0.326,84,26,12,56,52,25,6,5,116,10
Casey Lawrence,PA,0.324,78,38,2,66,58,35,3,5,105,13
Casey Sadler,OK,0.246,61,40,2,43,22,19,5,2,57,6
Cedrick Bowers,FL,0.218,14,14,0,18,7,6,1,1,12,4
Cesar Ramos,CA,0.272,329,262,12,258,150,135,12,22,327,35
Chad Beck,TX,0.318,15,14,0,9,11,5,0,0,21,2
Chad Bell,TN,0.369,69,31,4,64,55,33,3,4,95,13
Chad Bettis,TX,0.297,598,164,92,431,342,210,24,17,672,79
Chad Billingsley,OH,0.279,577,97,97,472,251,211,23,13,578,39
Chad Cordero,CA,0.313,9,9,0,6,7,5,1,0,10,1
Chad Durbin,IL,0.285,213,212,0,187,108,90,8,9,226,32
Chad Gaudin,LA,0.29,239,128,12,208,115,99,13,8,238,29
Chad Girodo,AL,0.268,10,14,0,5,5,2,1,0,11,3
Chad Green,SC,0.224,258,169,24,347,91,66,10,2,213,35
Chad Jenkins,TN,0.258,96,44,6,49,35,23,3,4,97,10
Chad Kuhl,DE,0.27,312,61,61,276,152,125,14,8,321,38
Chad Qualls,CA,0.286,394,454,0,290,198,102,8,24,438,44
Chad Reineke,OH,0.217,6,2,1,3,5,6,1,0,5,2
Chad Smith,CA,0.319,11,10,0,9,7,3,0,0,15,1
Chad Sobotka,FL,0.177,43,46,0,59,23,28,3,2,33,8
Chance Adams,AZ,0.309,32,16,1,27,30,15,2,0,47,10
Chance Ruffin,PA,0.289,23,22,0,30,15,14,2,1,27,5
Chandler Shepherd,KY,0.303,19,5,3,17,14,6,2,0,23,5
Charles Brewer,AZ,0.32,6,4,0,5,2,2,0,0,8,0
Charles Leesman,OH,0.267,15,8,1,13,12,16,1,0,16,2
Charlie Furbush,ME,0.222,259,247,12,268,115,89,16,10,222,30
Charlie Haeger,MI,0.295,30,9,6,30,28,26,1,0,36,4
Charlie Morton,NJ,0.26,1226,216,216,1124,533,427,110,19,1177,102
Chase Anderson,TX,0.249,855,166,160,721,375,281,35,7,800,129
Chase Bradford,NV,0.254,102,86,0,76,45,31,5,2,102,18
Chase De Jong,CA,0.274,45,11,8,26,27,19,0,0,49,8
Chase Whitley,AL,0.254,165,74,17,134,83,42,9,2,175,19
Chasen Shreve,NV,0.234,200,215,0,232,82,101,5,5,176,37
Chaz Roe,OH,0.216,201,228,0,229,85,94,11,9,172,19
Chi Chi Gonzalez,FL,0.284,140,31,25,83,76,74,4,1,129,18
Chris Archer,NC,0.241,1232,212,210,1349,530,420,38,8,1127,150
Chris Bassitt,OH,0.255,334,68,55,290,143,123,29,1,312,35
Chris Beck,GA,0.303,128,103,1,86,85,75,7,4,148,27
Chris Capuano,MA,0.272,715,192,109,614,349,223,16,21,752,95
Chris Carpenter,NH,0.277,504,90,72,392,191,138,21,12,492,41
Chris Devenski,CA,0.218,304,221,7,327,109,80,11,4,240,37
Chris Flexen,CA,0.338,67,27,11,49,61,54,3,3,91,14
Chris Gimenez,CA,0.318,5,6,0,0,4,0,0,0,7,1
Chris Hatcher,NC,0.276,262,250,0,266,137,98,6,12,275,39
Chris Heston,FL,0.361,192,40,33,151,98,78,13,5,198,19
Chris Jakubauskas,CA,0.316,72,33,6,52,46,29,3,3,93,11
Chris Martin,TX,0.283,131,144,0,134,67,20,4,3,148,18
Chris Mazza,CA,0.328,16,9,0,11,10,5,4,0,21,0
Chris Narveson,CO,0.263,375,90,60,306,203,139,7,5,376,50
Chris O'Grady,NY,0.259,40,21,6,38,21,22,1,1,40,6
Chris Paddack,TX,0.204,140,26,26,153,52,31,6,1,107,23
Chris Perez,FL,0.222,279,291,0,252,105,116,19,10,229,32
Chris Ray,FL,0.25,87,92,0,53,40,37,0,4,81,7
Chris Resop,FL,0.249,179,177,0,162,82,74,7,16,186,18
Chris Rowley,GA,0.304,18,6,3,11,14,10,0,0,24,4
Chris Rusin,MI,0.28,461,186,49,338,235,149,17,13,503,53
Chris Sale,FL,0.213,1627,312,232,2007,548,374,98,14,1312,172
Chris Sampson,TX,0.336,30,35,0,16,20,8,1,0,43,7
Chris Schwinden,CA,0.316,29,7,6,18,23,9,1,2,38,5
Chris Seddon,CA,0.258,56,31,2,34,28,23,0,1,56,6
Chris Smith,CA,0.25,84,31,9,61,53,36,1,1,81,19
Chris Stratton,MS,0.288,288,83,41,238,157,120,3,2,316,38
Chris Tillman,CA,0.271,1078,198,193,808,543,412,31,6,1065,149
Chris Volstad,FL,0.311,525,125,83,322,310,170,18,16,611,70
Chris Withrow,TX,0.174,92,92,0,99,32,48,3,1,59,11
Chris Young,TX,0.234,565,140,90,424,255,218,8,11,526,97
Christian Bergman,CA,0.301,214,71,25,130,134,49,4,4,269,40
Christian Friedrich,IL,0.287,295,124,42,246,177,117,7,5,333,35
Christian Garcia,FL,0.186,12,13,0,15,3,2,2,0,8,2
Chuck James,GA,0.293,10,8,0,8,7,4,0,0,12,1
Cla Meredith,VA,0.3,15,21,0,7,9,4,1,1,18,4
Clay Buchholz,TX,0.27,1138,200,184,862,485,371,44,9,1074,115
Clay Hensley,TX,0.232,192,165,9,165,83,89,11,7,166,17
Clay Holmes,AL,0.262,76,46,4,77,51,59,11,2,75,7
Clay Rapada,VA,0.211,63,115,0,61,27,31,1,2,49,7
Clayton Kershaw,TX,0.206,1993,294,293,2179,513,434,31,20,1487,155
Clayton Mortensen,ID,0.247,136,67,7,99,61,61,6,5,125,20
Clayton Richard,IN,0.291,1079,224,176,681,537,354,37,24,1183,127
Cliff Lee,AR,0.25,957,134,134,924,315,132,12,2,892,89
Cody Allen,FL,0.225,462,481,0,593,162,193,10,13,375,55
Cody Anderson,CA,0.299,159,39,26,107,85,45,3,4,174,23
Cody Carroll,TN,0.296,17,15,0,16,17,13,0,0,21,6
Cody Ege,IA,0.25,8,13,0,9,1,3,0,0,8,1
Cody Eppley,PA,0.286,55,69,0,38,25,22,1,3,57,6
Cody Hall,GA,0.278,8,7,0,7,6,4,1,0,10,1
Cody Martin,CA,0.325,55,34,4,42,38,21,3,0,68,13
Cody Reed,TN,0.258,113,42,18,109,69,54,6,6,129,20
Cody Stashak,NJ,0.287,25,18,1,25,9,1,1,0,29,3
Colby Lewis,CA,0.254,996,161,161,806,473,253,40,8,985,142
Cole De Vries,MN,0.293,102,21,18,70,58,27,4,0,110,22
Cole Hamels,CA,0.239,1953,306,305,1872,724,579,88,24,1742,214
Cole Irvin,CA,0.278,41,16,3,31,27,13,3,1,45,7
